id,name,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DAV,Anthony Davidson,,,,,,,,,,,,,,,,minardi,,,bar,,superaguri,superaguri,,,,,,,,,,,
DEL,Jean-Denis Délétraz,,,,,,,,larrousse,pacific,,,,,,,,,,,,,,,,,,,,,,,,
DIN,Pedro Diniz,,,,,,,,,forti,ligier,arrows,arrows,sauber,sauber,,,,,,,,,,,,,,,,,,,
DIR,Paul di Resta,,,,,,,,,,,,,,,,,,,,,,,,,forceindia,forceindia,forceindia,,,,williams,,
DON,Martin Donnelly,,,arrows,teamlotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOO,Robert Doornbos,,,,,,,,,,,,,,,,,,,minardi,redbull,,,,,,,,,,,,,
ENG,Tomáš Enge,,,,,,,,,,,,,,,prost,,,,,,,,,,,,,,,,,,
ERI,Marcus Ericsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,caterham,sauber,sauber,sauber,alpharomeo,
FIR,Ralph Firman,,,,,,,,,,,,,,,,,jordan,,,,,,,,,,,,,,,,
FIS,Giancarlo Fisichella,,,,,,,,,,minardi,jordan,benetton,benetton,benetton,benetton,jordan,jordan,sauber,renault,renault,renault,forceindia,forceindia+ferrari,,,,,,,,,,
FIT,Christian Fittipaldi,,,,,,minardi,minardi,footwork,,,,,,,,,,,,,,,,,,,,,,,,,
FOI,Gregor Foitek,,,eurobrun+rial,brabham+onyx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FON,Norberto Fontana,,,,,,,,,,,sauber,,,,,,,,,,,,,,,,,,,,,,
FRE,Heinz-Harald Frentzen,,,,,,,,sauber,sauber,sauber,williams,williams,jordan,jordan,jordan+prost,arrows+sauber,sauber,,,,,,,,,,,,,,,,
FRI,Patrick Friesacher,,,,,,,,,,,,,,,,,,,minardi,,,,,,,,,,,,,,
GAC,Bertrand Gachot,,,onyx+rial,coloni,jordan+lola,venturi,,pacific,pacific,,,,,,,,,,,,,,,,,,,,,,,,
GAS,Pierre Gasly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,torrorosso,torrorosso,redbull
GEN,Marc Gené,,,,,,,,,,,,,minardi,minardi,,,williams,williams,,,,,,,,,,,,,,,
GIA,Bruno Giacomelli,,,,life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
